Product,Price,RAM,ROM,Display,Back_camera,Front_camera,Processor,Battery,Rating
"Realme C12 (Power Blue, 32 GB)","₹8,999",3 GB RAM , 32 GB ROM ,16.56 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.5
"Realme C12 (Power Silver, 32 GB)","₹8,999",3 GB RAM , 32 GB ROM ,16.56 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.5
"Redmi 9i (Midnight Black, 64 GB)","₹8,299",4 GB RAM , 64 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.4
"Realme C15 (Power Blue, 32 GB)","₹9,499",3 GB RAM , 32 GB ROM ,16.56 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.4
"Realme C15 (Power Silver, 32 GB)","₹9,499",3 GB RAM , 32 GB ROM ,16.56 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.4
"Realme 7i (Fusion Green, 128 GB)","₹12,999",4 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.4
"Realme 7i (Fusion Blue, 128 GB)","₹12,999",4 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.4
"Realme 7i (Fusion Blue, 64 GB)","₹11,999",4 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.4
"Realme 7i (Fusion Green, 64 GB)","₹11,999",4 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.4
"Realme Narzo 20A (Glory Silver, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.5
"Realme Narzo 20A (Victory Blue, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.5
"Realme Narzo 20A (Victory Blue, 32 GB)","₹8,499",3 GB RAM , 32 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.4
"Realme C15 (Power Silver, 64 GB)","₹10,499",4 GB RAM , 64 GB ROM ,16.56 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,Mediatek Helio G35 Processor,6000 ,4.5
"Realme C11 (Rich Grey, 32 GB)","₹7,499",2 GB RAM , 32 GB ROM ,16.51 ,13MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"Realme C11 (Rich Green, 32 GB)","₹7,499",2 GB RAM , 32 GB ROM ,16.51 ,13MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"Realme Narzo 20 (Glory Silver, 64 GB)","₹10,499",4 GB RAM , 64 GB ROM ,16.56 ,48MP + 8MP + 2MP , 8MP Front Camera,MediaTek Helio G85 Processor,6000 ,4.4
"Realme Narzo 20A (Glory Silver, 32 GB)","₹8,499",3 GB RAM , 32 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.4
"POCO M2 (Slate Blue, 64 GB)","₹10,499",6 GB RAM , 64 GB ROM ,16.59 ,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,MediaTek Helio G80 Processor,5000 ,4.4
