,Unnamed: 0,Product,RAM,ROM,Display,Back_camera,Processor,Battery
0,5,"Realme 7i (Fusion Green, 128 GB)",4,128,16.51,64,662,5000
1,6,"Realme 7i (Fusion Blue, 128 GB)",4,128,16.51,64,662,5000
2,7,"Realme 7i (Fusion Blue, 64 GB)",4,64,16.51,64,662,5000
3,8,"Realme 7i (Fusion Green, 64 GB)",4,64,16.51,64,662,5000
4,9,"Realme Narzo 20A (Glory Silver, 64 GB)",4,64,16.51,12,665,5000
5,10,"Realme Narzo 20A (Victory Blue, 64 GB)",4,64,16.51,12,665,5000
6,11,"Realme Narzo 20A (Victory Blue, 32 GB)",3,32,16.51,12,665,5000
7,16,"Realme Narzo 20A (Glory Silver, 32 GB)",3,32,16.51,12,665,5000
8,27,"Motorola One Fusion+ (Twilight Blue, 128 GB)",6,128,16.51,64,730,5000
9,38,"POCO X3 (Cobalt Blue, 128 GB)",6,128,16.94,64,732,6000
10,40,"POCO M2 Pro (Green and Greener, 64 GB)",4,64,16.94,48,720,5000
11,52,"POCO M2 Pro (Out of the Blue, 64 GB)",6,64,16.94,48,720,5000
12,53,"POCO X3 (Shadow Gray, 128 GB)",8,128,16.94,64,732,6000
13,56,"Vivo V20 (Sunset Melody, 128 GB)",8,128,16.36,64,720,4000
14,57,"Vivo V20 (Midnight Jazz, 128 GB)",8,128,16.36,64,720,4000
15,58,"Vivo V20 (Sunset Melody, 256 GB)",8,256,16.36,64,720,4000
16,59,"Vivo V20 (Midnight Jazz, 256 GB)",8,256,16.36,64,720,4000
17,65,"Motorola One Fusion+ (Moonlight White, 128 GB)",6,128,16.51,64,730,5000
18,69,"POCO M2 Pro (Two Shades of Black, 64 GB)",6,64,16.94,48,720,5000
19,70,"Redmi Note 8 (Moonlight White, 64 GB)",4,64,16.0,48,665,4000
20,71,"OPPO A52 (Twilight Black, 128 GB)",4,128,16.51,12,665,5000
21,72,"OPPO A52 (Stream White, 128 GB)",4,128,16.51,12,665,5000
